routeId,routeCode,customerRouteCode,route,startName,endName,startStopCode,endStopCode,startTime,endTime,days,linetype,Variant
2,65/2-SL-D,65/2,Santej (Shah Alloys) - Lal Darwaja,Santej (Shah Alloys),Lal Darwaja,3779,1125,06:50:00,19:45:00,"1,2,3,4,5,6,7",AMTS,NORMAL
3,65/2-LS-U,65/2,Lal Darwaja - Santej (Shah Alloys),Lal Darwaja,Santej (Shah Alloys),1125,3758,05:55:00,18:25:00,"1,2,3,4,5,6,7",AMTS,NORMAL
4,65/2-U,65/2,Lal Darwaja - Arvind Polycoat (Khatraj),Lal Darwaja,Arvind Polycoat (Khatraj),1125,2764,05:25:00,19:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
5,65/3-D,65/3,Santej Gam - Lal Darwaja,Santej Gam,Lal Darwaja,5529,1077,06:30:00,21:15:00,"1,2,3,4,5,6,7",AMTS,NORMAL
6,300-VM-D,300,Vadaj - Maninagar,Vadaj,Maninagar,2107,3215,06:20:00,08:55:00,"1,2,3,4,5,6,7",AMTS,NORMAL
7,136-SN-D,136,Sarangpur - G.E.B (Naroda),Sarangpur,G.E.B (Naroda),1204,9110,06:25:00,08:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
10,143sh-U,143sh,Sarangpur - Kubadthal Gam,Sarangpur,Kubadthal Gam,1204,2586,05:30:00,19:55:00,"1,2,3,4,5,6,7",AMTS,NORMAL
11,144-D,144,Gujarat University - Arbudanagar,Gujarat University,Arbudanagar,1051,1181,07:15:00,20:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
13,138/1-IM-U,138/1,Iskon Mandir - Madhavnagar (Sanand),Iskon Mandir,Madhavnagar (Sanand),3213,1590,11:00:00,18:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
14,138/1-LM-U,138/1,Lal Darwaja - Madhavnagar (Sanand),Lal Darwaja,Madhavnagar (Sanand),8431,1590,05:20:00,19:45:00,"1,2,3,4,5,6,7",AMTS,NORMAL
15,152/1-GR-D,152/1,Gatrad Gam - Raipur Darwaja,Gatrad Gam,Raipur Darwaja,7028,1847,22:20:00,22:20:00,"1,2,3,4,5,6,7",AMTS,NORMAL
18,51Ri-T-U,51Ri,Lal Darwaja - Shilaj Gam,Lal Darwaja,Shilaj Gam,8431,3004,19:00:00,19:00:00,"1,2,3,4,5,6,7",AMTS,NORMAL
19,3sh-U,3sh,Bhadrakali Mandir - Bhadrakali Mandir,Bhadrakali Mandir,Bhadrakali Mandir,3400,3400,06:45:00,19:35:00,"1,2,3,4,5,6,7",AMTS,NORMAL
22,401-U,401,Vasna - Chandkheda (Sarthi Bunglows),Vasna,Chandkheda (Sarthi Bunglows),1286,2194,06:30:00,21:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
24,66/3sh-D,66/3sh,Moti Bhoyan Chokdi - Naroda,Moti Bhoyan Chokdi,Naroda,5514,1543,07:50:00,19:35:00,"1,2,3,4,5,6,7",AMTS,NORMAL
26,66/3sh-U,66/3sh,Naroda - Moti Bhoyan Chokdi,Naroda,Moti Bhoyan Chokdi,1434,2757,06:20:00,17:50:00,"1,2,3,4,5,6,7",AMTS,NORMAL
27,71/1sh-D,71/1sh,Gandhinagar Institute Of Technology - Lal Darwaja,Gandhinagar Institute Of Technology,Lal Darwaja,2739,4103,06:00:00,22:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
31,13/1-D,13/1,Ranip Gam - Prakash Vidhyalay (Isanpur),Ranip Gam,Prakash Vidhyalay (Isanpur),3229,9236,06:20:00,21:55:00,"1,2,3,4,5,6,7",AMTS,NORMAL
32,51Ri-U,51Ri,Lal Darwaja - Rancharda Gam,Lal Darwaja,Rancharda Gam,8431,3385,07:35:00,15:20:00,"1,2,3,4,5,6,7",AMTS,NORMAL
33,SF4-U,SF4,Bhakti Circle - Shakuntal Bungalows,Bhakti Circle,Shakuntal Bunglows,5290,2472,16:05:00,22:55:00,"1,2,3,4,5,6,7",AMTS,NORMAL
34,51sh-D,51sh,Rancharda Gam - Lal Darwaja,Rancharda Gam,Lal Darwaja,3244,1077,08:10:00,20:25:00,"1,2,3,4,5,6,7",AMTS,NORMAL
35,51sh-SL-D,51sh,Shilaj Gam - Lal Darwaja,Shilaj Gam,Lal Darwaja,3005,8431,06:15:00,22:50:00,"1,2,3,4,5,6,7",AMTS,NORMAL
36,58-U,58,Thaltej Gam - Kush Society (New Naroda),Thaltej Gam,Kush Society (New Naroda),3016,3868,06:20:00,18:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
38,17-U,17,Karnavati Chowk-4 (New Narol) - Meghaninagar,Karnavati Chowk-4 (New Narol),Meghaninagar,1800,3595,06:50:00,16:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
39,40/3-GV-D,40/3,Gayatri Vidyalay - Vadaj,Gayatri Vidyalay,Vadaj,2092,2107,19:20:00,21:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
40,18-D,18,Ujala Circle - Nigam Society,Ujala Circle(Sarkhej RailwayOverbridge),Nigam Society,1769,3240,07:50:00,20:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
41,151sh-D,151sh,Vivekanandnagar - Lal Darwaja,Vivekanandnagar,Lal Darwaja,3135,8431,06:30:00,20:20:00,"1,2,3,4,5,6,7",AMTS,NORMAL
42,60sh-AL-D,60sh,Thaltej Metro Station - Lal Darwaja,Thaltej Metro Station,Lal Darwaja,6218,2222,19:25:00,19:25:00,"1,2,3,4,5,6,7",AMTS,NORMAL
43,96-D,96,Vatva Railway Station - Civil Hospital,Vatva Railway Station,Civil Hospital,8728,1110,07:30:00,23:10:00,"1,2,3,4,5,6,7",AMTS,NORMAL
44,152Sh-U,152Sh,Lal Darwaja-Dhamatwan Gam,Lal Darwaja,Dhamatwan Gam,2222,7043,06:20:00,21:00:00,"1,2,3,4,5,6,7",AMTS,NORMAL
45,3sh-BK-U,3sh,Bhadrakali Mandir - Kalupur Terminus,Bhadrakali Mandir,Kalupur Terminus,3400,3050,20:07:00,20:07:00,"1,2,3,4,5,6,7",AMTS,NORMAL
47,130sh-D,130sh,Lambha Gam-Naroda Industrial Township(MuthiyaGam),Lambha Gam,Naroda Industrial Township(MuthiyaGam),3603,3646,06:30:00,21:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
49,16-CS-D,16,Someshwar Mahadev - Sarangpur,Someshwar Mahadev,Sarangpur,8978,1844,18:30:00,21:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
53,3sh-KB-U,3sh,Kalupur terminus - Bhadrakali Mandir,Kalupur Terminus,Bhadrakali Mandir,3050,3400,06:35:00,06:35:00,"1,2,3,4,5,6,7",AMTS,NORMAL
58,3-U,3,Bhadrakali Mandir - Bhadrakali Mandir,Bhadrakali Mandir,Bhadrakali Mandir,3400,3400,06:30:00,20:15:00,"1,2,3,4,5,6,7",AMTS,NORMAL
59,84-U,84,Lal Darwaja - Chandkheda (Sarthi Bunglows),Lal Darwaja,Chandkheda (Sarthi Bunglows),4103,2194,08:20:00,20:15:00,"1,2,3,4,5,6,7",AMTS,NORMAL
61,13/1-RV-D,13/1,Ranip Gam - Vadaj,Ranip Gam,Vadaj,3229,2107,19:50:00,23:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
65,13/1-U,13/1,Prakash Vidhyalay (Isanpur) - Ranip Gam,Prakash Vidhyalay (Isanpur),Ranip Gam,9235,3230,06:19:00,22:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
71,14-D,14,Nandej-Barejadi Gam - Lal Darwaja,Nandej-Barejadi Gam,Lal Darwaja,3123,1077,08:15:00,19:10:00,"1,2,3,4,5,6,7",AMTS,NORMAL
72,14-DL-D,14,Devdi Gam - Lal Darwaja,Devdi Gam,Lal Darwaja,4827,1077,07:00:00,07:00:00,"1,2,3,4,5,6,7",AMTS,NORMAL
73,14-VL-D,14,Vatva Gam - Lal Darwaja,Vatva Gam,Lal Darwaja,5636,1077,15:25:00,16:15:00,"1,2,3,4,5,6,7",AMTS,NORMAL
74,14-LD-U,14,Lal Darwaja - Devdi Gam,Lal Darwaja,Devdi Gam,1077,4069,05:55:00,05:55:00,"1,2,3,4,5,6,7",AMTS,NORMAL
75,14-LV-U,14,Lal Darwaja - Vatva Gam,Lal Darwaja,Vatva Gam,1077,4804,12:40:00,13:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
76,14-U,14,Lal Darwaja - Nandej-Barejadi Gam,Lal Darwaja,Nandej-Barejadi Gam,1077,3122,06:50:00,17:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
77,14/1-D,14/1,Vatva Railway Station - Lal Darwaja,Vatva Railway Station,Lal Darwaja,8729,1077,07:00:00,20:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
78,14/1-IL-D,14/1,Isanpur - Lal Darwaja,Isanpur,Lal Darwaja,3072,1077,17:05:00,17:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
79,14/1-LI-U,14/1,Lal Darwaja - Isanpur,Lal Darwaja,Isanpur,1077,3224,16:30:00,16:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
80,14/1-U,14/1,Lal Darwaja - Vatva Railway Station,Lal Darwaja,Vatva Railway Station,1077,8728,07:55:00,21:20:00,"1,2,3,4,5,6,7",AMTS,NORMAL
81,14sh-D,14sh,Nirmal Sarovar Bungalows(SPRingroad) - Lal Darwaja,Nirmal Saroavar Bunglows,Lal Darwaja,9995,1077,06:00:00,22:55:00,"1,2,3,4,5,6,7",AMTS,NORMAL
87,14sh-U,14sh,Lal Darwaja - Nirmal Sarovar Bungalows(SPRingroad),Lal Darwaja,Nirmal Saroavar Bunglows,1077,9994,05:05:00,21:55:00,"1,2,3,4,5,6,7",AMTS,NORMAL
88,15-D,15,Chosar Gam - Maninagar,Chosar Gam,Maninagar,5628,3215,06:40:00,21:55:00,"1,2,3,4,5,6,7",AMTS,NORMAL
89,15-U,15,Maninagar - Chosar Gam,Maninagar,Chosar Gam,1329,4067,05:55:00,21:00:00,"1,2,3,4,5,6,7",AMTS,NORMAL
90,49/2-GL-D,49/2,Gujarat University - Lal Darwaja,Gujarat University,Lal Darwaja,1222,1077,18:40:00,23:20:00,"1,2,3,4,5,6,7",AMTS,NORMAL
93,15/3-D,15/3,Khatraj (Panchvati circle) - Maninagar,Khatraj (Panchvati circle),Maninagar,8350,1329,07:40:00,20:50:00,"1,2,3,4,5,6,7",AMTS,NORMAL
94,15/3sh-D,15/3sh,Nadi Darwaja - Maninagar,Nadi Darwaja,Maninagar,8371,1310,07:20:00,17:45:00,"1,2,3,4,5,6,7",AMTS,NORMAL
95,15/3-U,15/3,Maninagar - Khatraj (Panchvati circle),Maninagar,Khatraj (Panchvati circle),1310,8349,06:30:00,19:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
96,15/3sh-U,15/3sh,Maninagar - Nadi Darwaja,Maninagar,Nadi Darwaja,1329,8372,06:00:00,16:25:00,"1,2,3,4,5,6,7",AMTS,NORMAL
98,160-D,160,Silver Oak University - Hatkeshwar Depo,Silver Oak University,Hatkeshwar Depo,9230,2393,07:35:00,22:15:00,"1,2,3,4,5,6,7",AMTS,NORMAL
100,16-D,16,Someshwar Mahadev - Vatva Railway Station,Someshwar Mahadev,Vatva Railway Station,8978,8729,07:10:00,17:50:00,"1,2,3,4,5,6,7",AMTS,NORMAL
101,16-MV-D,16,Maninagar - Vatva Railway Station,Maninagar,Vatva Railway Station,3215,8729,15:55:00,22:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
102,16-SM-D,16,Someshwar Mahadev - Maninagar,Someshwar Mahadev,Maninagar,8978,3215,06:40:00,12:10:00,"1,2,3,4,5,6,7",AMTS,NORMAL
103,16-SV-D,16,Sarangpur - Vatva Railway Station,Sarangpur,Vatva Railway Station,1844,8729,06:10:00,16:29:00,"1,2,3,4,5,6,7",AMTS,NORMAL
105,16-MS-U,16,Maninagar - Someshwar Mahadev,Maninagar,Someshwar Mahadev,1329,8978,09:05:00,10:10:00,"1,2,3,4,5,6,7",AMTS,NORMAL
106,16-MaS-U,16,Maninagar - Sarangpur,Maninagar,Sarangpur,1329,1204,12:45:00,14:00:00,"1,2,3,4,5,6,7",AMTS,NORMAL
110,16-SC-U,16,Sarangpur - Someshwar Mahadev,Sarangpur,Someshwar Mahadev,1204,8978,05:40:00,09:00:00,"1,2,3,4,5,6,7",AMTS,NORMAL
111,16-U,16,Vatva Railway Station - Someshwar Mahadev,Vatva Railway Station,Someshwar Mahadev,8728,8978,07:20:00,19:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
112,16-VM-U,16,Vatva Railway Station - Maninagar,Vatva Railway Station,Maninagar,8728,1329,15:15:00,22:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
113,16-VS-U,16,Vatva Railway Station - Sarangpur,Vatva Railway Station,Sarangpur,8728,1204,18:45:00,23:15:00,"1,2,3,4,5,6,7",AMTS,NORMAL
115,17-D,17,Meghaninagar - Karnavati Chowk-4 (New Narol),Meghaninagar,Karnavati Chowk-4 (New Narol),4850,1802,08:10:00,17:55:00,"1,2,3,4,5,6,7",AMTS,NORMAL
116,18S-D,18S,Vatva Railway Station - Maninagar,Vatva Railway Station,Maninagar,8729,1329,06:50:00,21:25:00,"1,2,3,4,5,6,7",AMTS,NORMAL
118,17-MMt-D,17,Maninagar - Karnavati Chowk-4 (New Narol),Maninagar,Karnavati Chowk-4 (New Narol),3215,1802,06:20:00,06:20:00,"1,2,3,4,5,6,7",AMTS,NORMAL
121,17-MM-U,17,Karnavati Chowk-4 (New Narol) - Maninagar,Karnavati Chowk-4 (New Narol),Maninagar,1800,1329,19:20:00,19:20:00,"1,2,3,4,5,6,7",AMTS,NORMAL
