Service_No,Vehicle_Type,Origin_Stop,Destination_Stop,Schedule_Times,Source
11,BRT,UDHNA DARWAZA,SACHIN G.I.D.C.,,table
12,BRT,ONGC COLONY,SARTHANA NATURE PARK BRT,,table
12B,BRT,BHAGWATI INDUSTRIAL ESTATE,KHARWAR NAGAR,,table
13,BRT,JAHANGIRPURA COMMUNITY HALL,KADODARA,,table
14,BRT,ONGC COLONY,KOSAD EWS H2,,table
15AA,BRT,ALTHAN DEPOT/TERMINAL,ALTHAN DEPOT/TERMINAL,,table
15CC,BRT,ALTHAN DEPOT/TERMINAL,ALTHAN DEPOT/TERMINAL,,table
16,BRT,KOSAD DEPOT,PANDESARA GIDC,,table
17A,BRT,KAMREJ TERMINAL,PAL R.T.O.,,table
18,BRT,RAILWAY STATION TER,UTRAN-R.O.B BRIDGE,,table
18P,BRT,PARVAT GAM,D.G.V.C.L URJA SADAN BRT,,table
19,BRT,RAILWAY STATION TER,KADODARA,,table
20,BRT,KOSAD EWS H2,KHARWAR NAGAR,,table
20D,BRT,CHANDRA SHEKHAR AZAD BRIDGE APPROACH KATARGAM,KATARGAM DARWAJA,,table
20K,BRT,CHANDRA SHEKHAR AZAD BRIDGE APPROACH KATARGAM,KATARGAM BRT,,table
21,BRT,JAHANGIRPURA COMMUNITY HALL,ALTHAN DEPOT/TERMINAL,,table
22,BRT,KOSAD EWS H2,SARTHANA NATURE PARK BRT,,table
22P,BRT,PARVAT GAM,D.G.V.C.L URJA SADAN BRT,,table
23,BRT,KAMREJ TERMINAL,SACHIN RAILWAY STATION,,table
23D,BRT,ALTHAN DEPOT/TERMINAL,DAKSHESWAR MAHADEV,,table
23V,BRT,ALTHAN DEPOT/TERMINAL,PANDESARA G.I.D.C.,,table
01,,City,ADAJAN GSRTC,,table
02,,City,ADAJAN GSRTC,,table
102R,,City,RAILWAY STATION TER,,table
103K,,City,LAMBE HANUMAN TEMPLE,,table
103S,,City,LAMBE HANUMAN TEMPLE,,table
103V,,City,LAMBE HANUMAN TEMPLE,,table
104,,City,RAILWAY STATION TER,,table
105,,City,RAILWAY STATION TER,,table
106R,,City,RAILWAY STATION TER,,table
106S,,City,RAILWAY STATION TER,,table
107J,,City,RAILWAY STATION TER,,table
107JP,,City,RAILWAY STATION TER,,table
112,,City,RAILWAY STATION TER,,table
116BR,,City,RAILWAY STATION TER,,table
116R,,City,RAILWAY STATION TER,,table
117,,City,RAILWAY STATION TER,,table
117P,,City,RAILWAY STATION TER,,table
118,,City,RAILWAY STATION TER,,table
126R,,City,RAILWAY STATION TER,,table
127J,,City,RAILWAY STATION TER,,table
136,,City,RAILWAY STATION TER,,table
137J,,City,RAILWAY STATION TER,,table
146,,City,RAILWAY STATION TER,,table
147J,,City,LAMBE HANUMAN TEMPLE,,table
153R,,City,UMRA HEALTH CENTRE,,table
202J,,City,MAKKAIPOOL TERMINAL,,table
204,,City,CHOWK,,table
205G,,City,CHOWK,,table
205K,,City,CHOWK,,table
205S,,City,CHOWK,,table
206,,City,CHOWK,,table
207E,,City,CHOWK,,table
209J,,City,DR S.P MUKHER BRID,,table
212J,,City,MAKKAIPOOL TERMINAL,,table
213,,City,DR S.P MUKHER BRID,,table
216B,,City,CHOWK,,table
216K,,City,CHOWK,,table
217,,City,MAKKAI POOL U,,table
217M,,City,MAKKAI POOL U,,table
226J,,City,KOSAD GAM,,table
254,,City,SUMAN DARSHAN,,table
302,,City,KHARWARNAGAR BRT,,table
302V,,City,KHARWARNAGAR BRT,,table
305,,City,KHARWAR NAGAR,,table
315,,City,KHARWAR NAGAR,,table
315B,,City,KHARWARNAGAR BRT,,table
315G,,City,KHARWAR NAGAR,,table
402,,City,MAGOB GAM,,table
403,,City,SMC WARD OFFICE LIMBAYAT,,table
410A,,City,UTRAN LAKE GARDEN,,table
410C,,City,UTRAN LAKE GARDEN,,table
413,,City,SMC WARD OFFICE LIMBAYAT,,table
504,,City,AMEZIA AMUZEMENT PARK,,table
504S,,City,AMEZIA AMUZEMENT PARK,,table
505,,City,BAMROLI,,table
505C,,City,CHIKU WADI,,table
506,,City,SUNRISE VIDYALAY DINDOLI,,table
506D,,City,DINDOLI FIRE STATION,,table
658,,City,ADAJAN G.S.R.T.C.,,table
706,,City,ISKCON CIRCLE,,table
716,,City,SAI PUJAN RESIDENCY,,table
903,,City,SHREE GYANJYOT VIDHYALAY,,table
,,City,SDB-1,,table
,,City,SDB-2,,table
1,,BRT,,,select_dropdown
2,,City,,,select_dropdown
