description,destination,origin,raw_data,row_index,schedule_times,service_no,source,vehicle_type
,SACHIN G.I.D.C.,UDHNA DARWAZA,BRT | 11 | UDHNA DARWAZA | SACHIN G.I.D.C.,1,[],11,table,BRT
,SARTHANA NATURE PARK BRT,ONGC COLONY,BRT | 12 | ONGC COLONY | SARTHANA NATURE PARK BRT,2,[],12,table,BRT
,KHARWAR NAGAR,BHAGWATI INDUSTRIAL ESTATE,BRT | 12B | BHAGWATI INDUSTRIAL ESTATE | KHARWAR NAGAR,3,[],12B,table,BRT
,KADODARA,JAHANGIRPURA COMMUNITY HALL,BRT | 13 | JAHANGIRPURA COMMUNITY HALL | KADODARA,4,[],13,table,BRT
,KOSAD EWS H2,ONGC COLONY,BRT | 14 | ONGC COLONY | KOSAD EWS H2,5,[],14,table,BRT
,ALTHAN DEPOT/TERMINAL,ALTHAN DEPOT/TERMINAL,BRT | 15AA | ALTHAN DEPOT/TERMINAL | ALTHAN DEPOT/TERMINAL,6,[],15AA,table,BRT
,ALTHAN DEPOT/TERMINAL,ALTHAN DEPOT/TERMINAL,BRT | 15CC | ALTHAN DEPOT/TERMINAL | ALTHAN DEPOT/TERMINAL,7,[],15CC,table,BRT
,PANDESARA GIDC,KOSAD DEPOT,BRT | 16 | KOSAD DEPOT | PANDESARA GIDC,8,[],16,table,BRT
,PAL R.T.O.,KAMREJ TERMINAL,BRT | 17A | KAMREJ TERMINAL | PAL R.T.O.,9,[],17A,table,BRT
,UTRAN-R.O.B BRIDGE,RAILWAY STATION TER,BRT | 18 | RAILWAY STATION TER | UTRAN-R.O.B BRIDGE,10,[],18,table,BRT
,D.G.V.C.L URJA SADAN BRT,PARVAT GAM,BRT | 18P | PARVAT GAM | D.G.V.C.L URJA SADAN BRT,11,[],18P,table,BRT
,KADODARA,RAILWAY STATION TER,BRT | 19 | RAILWAY STATION TER | KADODARA,12,[],19,table,BRT
,KHARWAR NAGAR,KOSAD EWS H2,BRT | 20 | KOSAD EWS H2 | KHARWAR NAGAR,13,[],20,table,BRT
,KATARGAM DARWAJA,CHANDRA SHEKHAR AZAD BRIDGE APPROACH KATARGAM,BRT | 20D | CHANDRA SHEKHAR AZAD BRIDGE APPROACH KATARGAM | KATARGAM DARWAJA,14,[],20D,table,BRT
,KATARGAM BRT,CHANDRA SHEKHAR AZAD BRIDGE APPROACH KATARGAM,BRT | 20K | CHANDRA SHEKHAR AZAD BRIDGE APPROACH KATARGAM | KATARGAM BRT,15,[],20K,table,BRT
,ALTHAN DEPOT/TERMINAL,JAHANGIRPURA COMMUNITY HALL,BRT | 21 | JAHANGIRPURA COMMUNITY HALL | ALTHAN DEPOT/TERMINAL,16,[],21,table,BRT
,SARTHANA NATURE PARK BRT,KOSAD EWS H2,BRT | 22 | KOSAD EWS H2 | SARTHANA NATURE PARK BRT,17,[],22,table,BRT
,D.G.V.C.L URJA SADAN BRT,PARVAT GAM,BRT | 22P | PARVAT GAM | D.G.V.C.L URJA SADAN BRT,18,[],22P,table,BRT
,SACHIN RAILWAY STATION,KAMREJ TERMINAL,BRT | 23 | KAMREJ TERMINAL | SACHIN RAILWAY STATION,19,[],23,table,BRT
,DAKSHESWAR MAHADEV,ALTHAN DEPOT/TERMINAL,BRT | 23D | ALTHAN DEPOT/TERMINAL | DAKSHESWAR MAHADEV,20,[],23D,table,BRT
,PANDESARA G.I.D.C.,ALTHAN DEPOT/TERMINAL,BRT | 23V | ALTHAN DEPOT/TERMINAL | PANDESARA G.I.D.C.,21,[],23V,table,BRT
,ADAJAN GSRTC,City,City | 01 | ADAJAN GSRTC | ADAJAN GSRTC,22,[],01,table,
,ADAJAN GSRTC,City,City | 02 | ADAJAN GSRTC | ADAJAN GSRTC,23,[],02,table,
,RAILWAY STATION TER,City,City | 102R | RAILWAY STATION TER | MOTI VED,24,[],102R,table,
,LAMBE HANUMAN TEMPLE,City,City | 103K | LAMBE HANUMAN TEMPLE | KATHOR GAAM,25,[],103K,table,
,LAMBE HANUMAN TEMPLE,City,City | 103S | LAMBE HANUMAN TEMPLE | HARIDARSHAN RESIDENCY,26,[],103S,table,
,LAMBE HANUMAN TEMPLE,City,City | 103V | LAMBE HANUMAN TEMPLE | RAMVATIKA SOCIETY,27,[],103V,table,
,RAILWAY STATION TER,City,City | 104 | RAILWAY STATION TER | VRUKSHLAXMI SOCIETY,28,[],104,table,
,RAILWAY STATION TER,City,City | 105 | RAILWAY STATION TER | CHIKU WADI,29,[],105,table,
,RAILWAY STATION TER,City,City | 106R | RAILWAY STATION TER | ABHVA GAAM,30,[],106R,table,
,RAILWAY STATION TER,City,City | 106S | RAILWAY STATION TER | ABHVA GAAM(Saraswati Mahavidhyalay),31,[],106S,table,
,RAILWAY STATION TER,City,City | 107J | RAILWAY STATION TER | VIVEKANAND COLLEGE,32,[],107J,table,
,RAILWAY STATION TER,City,City | 107JP | RAILWAY STATION TER | VIVEKANAND COLLEGE,33,[],107JP,table,
,RAILWAY STATION TER,City,City | 112 | RAILWAY STATION TER | KOSAD GAM,34,[],112,table,
,RAILWAY STATION TER,City,City | 116BR | RAILWAY STATION TER | KHAJOD GAM (VIA BHIMRAD GAAM),35,[],116BR,table,
,RAILWAY STATION TER,City,City | 116R | RAILWAY STATION TER | KHAJOD GAM,36,[],116R,table,
,RAILWAY STATION TER,City,City | 117 | RAILWAY STATION TER | SUMAN JYOT EWS,37,[],117,table,
,RAILWAY STATION TER,City,City | 117P | RAILWAY STATION TER | PALANPUR DEPOT,38,[],117P,table,
,RAILWAY STATION TER,City,City | 118 | RAILWAY STATION TER | SAYAN RAILWAY STATION,39,[],118,table,
,RAILWAY STATION TER,City,City | 126R | RAILWAY STATION TER | SOMESHWAR JUNCTION,40,[],126R,table,
,RAILWAY STATION TER,City,City | 127J | RAILWAY STATION TER | RANDER GAAM,41,[],127J,table,
,RAILWAY STATION TER,City,City | 136 | RAILWAY STATION TER | SURAT AIRPORT,42,[],136,table,
,RAILWAY STATION TER,City,City | 137J | RAILWAY STATION TER | KAVI SHREE AMRUT GHAYAL SCHOOL VARIAV,43,[],137J,table,
,RAILWAY STATION TER,City,City | 146 | RAILWAY STATION TER | GAIL INDIA LTD VIP ROAD U,44,[],146,table,
,LAMBE HANUMAN TEMPLE,City,City | 147J | LAMBE HANUMAN TEMPLE | GREEN CITY BHATHA,45,[],147J,table,
,UMRA HEALTH CENTRE,City,City | 153R | UMRA HEALTH CENTRE | KAPODARA,46,[],153R,table,
,MAKKAIPOOL TERMINAL,City,City | 202J | MAKKAIPOOL TERMINAL | AKHAND ANAND PARK SOCIETY,47,[],202J,table,
,CHOWK,City,City | 204 | CHOWK | RAJ EMPIRE GODADARA,48,[],204,table,
,CHOWK,City,City | 205G | CHOWK | GABHENI GAAM,49,[],205G,table,
,CHOWK,City,City | 205K | CHOWK | LAJPORE JAIL,50,[],205K,table,
,CHOWK,City,City | 205S | CHOWK | SACHIN RAILWAY STATION,51,[],205S,table,
,CHOWK,City,City | 206 | CHOWK | C.K.PITHAWALA ENG.COLLEGE U,52,[],206,table,
,CHOWK,City,City | 207E | CHOWK | VAISHNODEVI SKY U,53,[],207E,table,
,DR S.P MUKHER BRID,City,City | 209J | DR S.P MUKHER BRID | VRUKSHLAXMI SOCIETY,54,[],209J,table,
,MAKKAIPOOL TERMINAL,City,City | 212J | MAKKAIPOOL TERMINAL | VARIAV GAAM,55,[],212J,table,
